project_id,exact_duplicate_flag,exact_duplicate_project_ids,potential_duplicate_flag,similarity_score,duplicate_reason,similar_project_id,cost_anomaly_flag,cost_anomaly_score,cost_anomaly_reason,cost_anomaly_available
WS/MP620/2024-2025/133166,False,[],False,0.0,,,0.0,-0.0091282170146806,,True
WS/MP620/2025-2026/133167,False,[],False,0.0,,,1.0,0.0419867095774056,Detected by Isolation Forest pattern analysis,True
WS/MP620/2024-2025/133190,False,[],False,0.0,,,1.0,0.0419867095774056,Detected by Isolation Forest pattern analysis,True
WS/MP620/2025-2026/133191,False,[],False,0.0,,,0.0,-0.0081295325587962,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP620/2024-2025/133301,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2024-2025/133303,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2024-2025/133304,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2025-2026/133305,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2024-2025/133306,False,[],False,0.0,,,0.0,-0.0091282170146806,,True
WS/MP620/2024-2025/133307,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2024-2025/133308,False,[],False,0.0,,,0.0,-0.009095877113058,Outside the peer-group IQR,True
WS/MP620/2024-2025/133309,False,[],False,0.0,,,0.0,-0.0091282170146806,,True
WS/MP620/2024-2025/133310,False,[],False,0.0,,,0.0,-0.0089350460580333,Outside the peer-group IQR,True
WS/MP620/2024-2025/133311,False,[],False,0.0,,,0.0,-0.0090425527552307,Outside the peer-group IQR,True
WS/MP620/2024-2025/133312,False,[],False,0.0,,,0.0,-0.0091282170146806,,True
WS/MP418/2024-2025/133409,False,[],False,0.0,,,0.0,-0.0023927462709833,,True
WS/MP498/2024-2025/133447,False,[],False,0.0,,,0.0,-0.0188699852782696,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP577/2025-2026/133549,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133550,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133551,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133552,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133553,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133554,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133556,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133557,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133558,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133559,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133560,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133561,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133562,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133563,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133564,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133565,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133566,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133567,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133568,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133569,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133570,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133571,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133572,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133573,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2025-2026/133574,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2024-2025/133575,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133576,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133577,False,[],False,0.0,,,0.0,-0.0054767577811081,,True
WS/MP577/2024-2025/133578,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133579,False,[],False,0.0,,,0.0,-0.0055854341957015,,True
WS/MP577/2025-2026/133580,False,[],False,0.0,,,0.0,-0.0055854341957015,,True
WS/MP577/2025-2026/133581,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133582,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133583,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133584,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133585,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133586,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133587,False,[],False,0.0,,,0.0,-0.0055854341957015,,True
WS/MP577/2024-2025/133588,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133589,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133590,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133591,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133592,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133593,False,[],False,0.0,,,0.0,-0.0054600968631232,,True
WS/MP577/2025-2026/133594,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133595,False,[],False,0.0,,,0.0,-0.0055854341957015,,True
WS/MP577/2025-2026/133596,False,[],False,0.0,,,0.0,-0.0056774242027769,,True
WS/MP577/2024-2025/133597,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133598,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133599,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133600,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133601,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133602,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133603,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133604,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133605,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133606,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133607,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133608,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133609,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2026-2027/133610,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133611,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2024-2025/133612,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133613,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP577/2025-2026/133614,False,[],False,0.0,,,0.0,-0.0058026767625125,,True
WS/MP18152/2024-2025/133686,False,[],False,0.0,,,0.0,-0.0008922662394159,,True
WS/MP18152/2024-2025/133687,False,[],True,0.8739,"Description is similar to WS/MP18152/2024-2025/141221, WS/MP18152/2024-2025/141220, WS/MP18152/2024-2025/141219.",WS/MP18152/2024-2025/141221,0.0,-0.0008922662394159,,True
WS/MP18152/2024-2025/133688,False,[],False,0.0,,,0.0,-0.0008922662394159,,True
WS/MP18152/2024-2025/133689,False,[],True,0.8739,"Description is similar to WS/MP18152/2024-2025/141221, WS/MP18152/2024-2025/141220, WS/MP18152/2024-2025/141219.",WS/MP18152/2024-2025/141221,0.0,-0.0008922662394159,,True
