project_id,peer_count,peer_median_cost,peer_iqr_cost,cost_deviation_pct,cost_zscore,cost_iqr_flag,cost_anomaly_flag,cost_anomaly_score,cost_anomaly_reason,cost_anomaly_available
WS/MP620/2024-2025/133166,109.0,500000.0,4373.0,-0.00563,-0.005948779073444851,0.0,0.0,-0.00912821701468064,,True
WS/MP620/2025-2026/133167,30.0,500000.0,557867.0,0.0,0.0,0.0,1.0,0.041986709577405634,Detected by Isolation Forest pattern analysis,True
WS/MP620/2024-2025/133190,30.0,500000.0,557867.0,-0.1,-0.05442598385826123,0.0,1.0,0.041986709577405634,Detected by Isolation Forest pattern analysis,True
WS/MP620/2025-2026/133191,109.0,500000.0,4373.0,2.0,2.113243010104743,1.0,0.0,-0.008129532558796282,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP620/2024-2025/133301,109.0,500000.0,4373.0,-0.203982,-0.21553176784359282,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2024-2025/133303,109.0,500000.0,4373.0,-0.201792,-0.21321776674752813,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2024-2025/133304,109.0,500000.0,4373.0,-0.207692,-0.21945183362733714,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2025-2026/133305,109.0,500000.0,4373.0,-0.2,-0.21132430101047428,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2024-2025/133306,109.0,500000.0,4373.0,-0.008746,-0.00924121168318804,0.0,0.0,-0.00912821701468064,,True
WS/MP620/2024-2025/133307,109.0,500000.0,4373.0,-0.20209,-0.21353263995603375,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2024-2025/133308,109.0,500000.0,4373.0,-0.201392,-0.2127951181455072,1.0,0.0,-0.009095877113058037,Outside the peer-group IQR,True
WS/MP620/2024-2025/133309,109.0,500000.0,4373.0,-0.009938,-0.010500704517210467,0.0,0.0,-0.00912821701468064,,True
WS/MP620/2024-2025/133310,109.0,500000.0,4373.0,-0.504834,-0.5334184608816089,1.0,0.0,-0.008935046058033358,Outside the peer-group IQR,True
WS/MP620/2024-2025/133311,109.0,500000.0,4373.0,-0.5,-0.5283107525261858,1.0,0.0,-0.009042552755230748,Outside the peer-group IQR,True
WS/MP620/2024-2025/133312,109.0,500000.0,4373.0,-0.003818,-0.004034180906289955,0.0,0.0,-0.00912821701468064,,True
