project_id,exact_duplicate_flag,exact_duplicate_project_ids,potential_duplicate_flag,similarity_score,duplicate_reason,similar_project_id
WS/MP620/2024-2025/133166,False,[],False,0.0,,
WS/MP620/2025-2026/133167,False,[],False,0.0,,
WS/MP620/2024-2025/133190,False,[],False,0.0,,
WS/MP620/2025-2026/133191,False,[],False,0.0,,
WS/MP620/2024-2025/133301,False,[],False,0.0,,
WS/MP620/2024-2025/133303,False,[],False,0.0,,
WS/MP620/2024-2025/133304,False,[],False,0.0,,
WS/MP620/2025-2026/133305,False,[],False,0.0,,
WS/MP620/2024-2025/133306,False,[],False,0.0,,
WS/MP620/2024-2025/133307,False,[],False,0.0,,
WS/MP620/2024-2025/133308,False,[],False,0.0,,
WS/MP620/2024-2025/133309,False,[],False,0.0,,
WS/MP620/2024-2025/133310,False,[],False,0.0,,
WS/MP620/2024-2025/133311,False,[],False,0.0,,
WS/MP620/2024-2025/133312,False,[],False,0.0,,
WS/MP418/2024-2025/133409,False,[],False,0.0,,
WS/MP498/2024-2025/133447,False,[],False,0.0,,
WS/MP577/2025-2026/133549,False,[],False,0.0,,
WS/MP577/2025-2026/133550,False,[],False,0.0,,
WS/MP577/2025-2026/133551,False,[],False,0.0,,
WS/MP577/2025-2026/133552,False,[],False,0.0,,
WS/MP577/2025-2026/133553,False,[],False,0.0,,
WS/MP577/2025-2026/133554,False,[],False,0.0,,
WS/MP577/2025-2026/133556,False,[],False,0.0,,
WS/MP577/2025-2026/133557,False,[],False,0.0,,
WS/MP577/2025-2026/133558,False,[],False,0.0,,
WS/MP577/2025-2026/133559,False,[],False,0.0,,
WS/MP577/2025-2026/133560,False,[],False,0.0,,
WS/MP577/2025-2026/133561,False,[],False,0.0,,
WS/MP577/2025-2026/133562,False,[],False,0.0,,
WS/MP577/2025-2026/133563,False,[],False,0.0,,
WS/MP577/2025-2026/133564,False,[],False,0.0,,
WS/MP577/2025-2026/133565,False,[],False,0.0,,
WS/MP577/2025-2026/133566,False,[],False,0.0,,
WS/MP577/2025-2026/133567,False,[],False,0.0,,
WS/MP577/2025-2026/133568,False,[],False,0.0,,
WS/MP577/2025-2026/133569,False,[],False,0.0,,
WS/MP577/2025-2026/133570,False,[],False,0.0,,
WS/MP577/2025-2026/133571,False,[],False,0.0,,
WS/MP577/2025-2026/133572,False,[],False,0.0,,
WS/MP577/2025-2026/133573,False,[],False,0.0,,
WS/MP577/2025-2026/133574,False,[],False,0.0,,
WS/MP577/2024-2025/133575,False,[],False,0.0,,
WS/MP577/2024-2025/133576,False,[],False,0.0,,
WS/MP577/2025-2026/133577,False,[],False,0.0,,
WS/MP577/2024-2025/133578,False,[],False,0.0,,
WS/MP577/2025-2026/133579,False,[],False,0.0,,
