project_id,peer_count,peer_median_cost,peer_iqr_cost,cost_deviation_pct,cost_zscore,cost_iqr_flag,cost_anomaly_flag,cost_anomaly_score,cost_anomaly_reason,cost_anomaly_available
WS/MP18394/2024-2025/148082,438.0,785000.0,949688.0,0.3821656050955414,0.23695193487864094,0.0,0.0,-0.012135905970300953,,True
WS/MP18076/2024-2025/148093,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18076/2025-2026/148096,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18076/2024-2025/148097,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18076/2024-2025/148098,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18076/2024-2025/148099,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18076/2025-2026/148100,109.0,500000.0,4373.0,0.0,0.0,0.0,0.0,-0.006084161783012687,,True
WS/MP18138/2024-2025/148101,101.0,250000.0,250000.0,1.8,1.276687943237662,0.0,0.0,-0.004900495981366493,Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148102,101.0,250000.0,250000.0,0.2,0.1418542159152958,0.0,0.0,-0.006804226851484629,,True
WS/MP18138/2024-2025/148103,101.0,250000.0,250000.0,1.0,0.7092710795764788,0.0,0.0,-0.005746207379652146,Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148104,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148105,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148106,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148107,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148108,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148109,101.0,250000.0,250000.0,3.0,2.127813238729437,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148110,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148111,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148112,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148113,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148114,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148115,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148116,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148117,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148118,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148119,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148120,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148121,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148122,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148123,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148124,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148125,101.0,250000.0,250000.0,0.0,0.0,0.0,0.0,-0.006712559652405525,,True
WS/MP18138/2024-2025/148126,101.0,250000.0,250000.0,2.96,2.0994423955463777,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP18138/2024-2025/148127,101.0,250000.0,250000.0,6.22846,4.417666548298916,1.0,0.0,-0.004496315660078021,Outside the peer-group IQR; Large peer-group z-score; Cost is at least twice the peer median,True
WS/MP18144/2024-2025/148128,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148129,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148130,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148131,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148132,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148133,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148134,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148135,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148136,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP18144/2024-2025/148137,151.0,480000.0,251158.0,-0.5833333333333334,-1.2945564104776275,0.0,0.0,-0.0033447141246256695,,True
WS/MP600/2024-2025/148146,62.0,178135.5,94368.0,-0.3544240199174224,-0.8924690990762224,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148147,62.0,178135.5,94368.0,0.2511374768083846,0.6323850108231251,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148148,62.0,178135.5,94368.0,0.10589972240232856,0.2666642906054976,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148149,62.0,178135.5,94368.0,-0.11864844458291582,-0.2987666311904633,0.0,0.0,-0.014206593270790935,,True
WS/MP600/2024-2025/148150,62.0,178135.5,94368.0,-0.2982869781711113,-0.7511113686272322,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148151,62.0,178135.5,94368.0,-0.306707534433058,-0.7723150281945806,0.0,0.0,-0.013889207581139151,,True
WS/MP18328/2024-2025/148152,65.0,250000.0,291850.0,1.0,0.6926282057146088,0.0,0.0,-0.0194990642292307,Cost is at least twice the peer median,True
WS/MP600/2024-2025/148153,62.0,178135.5,94368.0,-0.19162659885312025,-0.48253168077415065,0.0,0.0,-0.014206593270790935,,True
WS/MP18328/2024-2025/148154,65.0,250000.0,291850.0,1.0,0.6926282057146088,0.0,0.0,-0.0194990642292307,Cost is at least twice the peer median,True
WS/MP18328/2026-2027/148155,1.0,50000.0,0.0,0.0,0.0,0.0,1.0,0.001943206653326146,Detected by Isolation Forest pattern analysis,True
WS/MP18328/2024-2025/148157,65.0,250000.0,291850.0,1.0,0.6926282057146088,0.0,0.0,-0.0194990642292307,Cost is at least twice the peer median,True
WS/MP600/2024-2025/148165,62.0,178135.5,94368.0,0.11151342657695967,0.28080006365039667,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148166,62.0,178135.5,94368.0,0.10870657448964412,0.2737321771279472,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148167,62.0,178135.5,94368.0,-0.36003772409205353,-0.9066048721211214,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148168,62.0,178135.5,94368.0,-0.14110326128144024,-0.35530972337005945,0.0,0.0,-0.014206593270790935,,True
WS/MP600/2024-2025/148172,62.0,178135.5,94368.0,-0.21744963805642334,-0.5475562367806862,0.0,0.0,-0.013995038602842735,,True
WS/MP600/2024-2025/148173,62.0,178135.5,94368.0,-0.48353921593393795,-1.2175918791089,0.0,0.0,-0.011955824689493022,,True
WS/MP600/2024-2025/148175,62.0,178135.5,94368.0,0.8777166819640105,2.210163455002575,0.0,0.0,-0.014480793415176885,,True
WS/MP761/2024-2025/148179,444.0,200000.0,300094.0,0.99502,0.810262102576179,0.0,0.0,-0.012083191489102252,,True
WS/MP600/2024-2025/148180,62.0,178135.5,94368.0,0.43149456453093293,1.086539127209641,0.0,0.0,-0.014428372932898892,,True
WS/MP18328/2025-2026/148181,65.0,250000.0,291850.0,3.92,2.7151025664012667,1.0,0.0,-0.018637245596670238,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP761/2024-2025/148184,444.0,200000.0,300094.0,0.74089,0.6033196208896959,0.0,0.0,-0.011368747913659716,,True
WS/MP18328/2024-2025/148186,65.0,250000.0,291850.0,1.0,0.6926282057146088,0.0,0.0,-0.0194990642292307,Cost is at least twice the peer median,True
WS/MP761/2024-2025/148187,444.0,200000.0,300094.0,0.44428,0.3617849359133935,0.0,0.0,-0.011063774944822469,,True
WS/MP600/2024-2025/148188,62.0,178135.5,94368.0,-0.21969511972627578,-0.5532105459986457,0.0,0.0,-0.013995038602842735,,True
WS/MP761/2024-2025/148189,444.0,200000.0,300094.0,-0.27964,-0.22771571864324608,0.0,0.0,-0.01082756117766498,,True
WS/MP18328/2024-2025/148190,65.0,250000.0,291850.0,3.0,2.0778846171438263,1.0,0.0,-0.018637245596670238,Outside the peer-group IQR; Cost is at least twice the peer median,True
WS/MP600/2024-2025/148191,62.0,178135.5,94368.0,-0.11864844458291582,-0.2987666311904633,0.0,0.0,-0.014206593270790935,,True
WS/MP600/2024-2025/148192,62.0,178135.5,94368.0,0.1312624378633119,0.3305297132223514,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148193,62.0,178135.5,94368.0,-0.2982869781711113,-0.7511113686272322,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148194,62.0,178135.5,94368.0,0.181982255081104,0.45824642268301413,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148195,62.0,178135.5,94368.0,0.1312624378633119,0.3305297132223514,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148196,62.0,178135.5,94368.0,-0.26460475312332465,-0.666296730357838,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148197,62.0,178135.5,94368.0,-0.03444288196344917,-0.08673003551697796,0.0,0.0,-0.014312316941246517,,True
WS/MP18228/2024-2025/148198,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148199,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148200,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148201,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148202,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
