"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2182","Normal/Others","WS/MP18176/2024-2025/139718-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF SEMMETTUPATTI ANGANWADI BUILDING","09-Sep-2024","1653634","20-Sep-2024"
"2183","Normal/Others","WS/MP18176/2024-2025/139719-Construction of buildings for community cultural activities","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF DRAMA STAGE SERVEEDU PUDUR @ VELAMPATTI","07-Sep-2024","847547","12-Mar-2025"
"2184","Normal/Others","WS/MP18253/2024-2025/139726-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM BHOLA HALDER HOUSE TO PARITOSH MONDALHOUSE","07-Sep-2024","400000","19-Nov-2024"
"2185","Normal/Others","WS/MP18253/2024-2025/139727-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM ARABINDU RUIDAS  HOUSE TO BHOLA RUIDAS HOUSE","07-Sep-2024","300000","19-Nov-2024"
"2186","Normal/Others","WS/MP18253/2024-2025/139729-Providing drains and gutters for public drainage","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CONCRET DRAIN FROM NAJIM SARDAR  HOUSE TO MOSTAQUE HOSAINPURKAIT SHOP","07-Sep-2024","300000","19-Nov-2024"
"2187","Normal/Others","WS/MP18253/2024-2025/139731-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD WITH PAILING FROM SANJAY MANNA  HOUSE TO ABDUR RAHAMAN LASKAR HOUSE","07-Sep-2024","500000","19-Nov-2024"
"2188","Normal/Others","WS/MP18253/2024-2025/139732-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM SUBHRA HOUSE TO JAKIR HOSAIN HOUSE","07-Sep-2024","600000","19-Nov-2024"
"2189","Normal/Others","WS/MP18253/2024-2025/139733-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM MAIDUL HALDER HOUSE TO SUJA UDDIN HOUSE","07-Sep-2024","600000","19-Nov-2024"
"2190","Normal/Others","WS/MP18253/2024-2025/139734-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM CHAKA ESPAN LASKAR HOUSE TO AHAD LASKAR HOUSE","07-Sep-2024","300000","19-Nov-2024"
"2191","Normal/Others","WS/MP18253/2024-2025/139735-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD WITH PAILING FROM SIBPUR BATTALA TO JOTIRMOY BHANDARY LAND","07-Sep-2024","500000","19-Nov-2024"
