"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"4","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"5","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/242466","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","31-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"6","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP641/2025-2026/220322","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","31-Aug-2026","NAGAR PALIKA PARISHAD BARWANI","Payment In-Progress","99254"
"7","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159994","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"8","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159991","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"9","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/159993","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"10","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/273954","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"11","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/245795","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","124750"
"12","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2026-2027/245898","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","562500"
"13","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2025-2026/247818","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Shri B Y Raghavendra","SHIMOGA","05-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","124750"
"14","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184339","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"15","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"16","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272844","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","05-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","8163"
"17","Odisha","Construction of community centers and community halls","WS/MP18150/2025-2026/273406","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","05-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","4123"
"18","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/225283","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","01-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"19","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"20","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP653/2025-2026/271170","DEWAS(DISTRICT COLLECTOR DEWAS_IDA)","Mahendra Singh Solanky","DEWAS(SC)","01-Sep-2026","CEO Janpad Panchayat Dewas","Payment In-Progress","600000"
"21","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274288","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","03-Sep-2026","bisht trading company","Payment In-Progress","122244"
"22","Kerala","Lighting of public spaces","WS/MP346/2025-2026/206480","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","05-Sep-2026","ALLUMINA ELECTRONICS","Payment In-Progress","242517"
"23","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/246711","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","03-Sep-2026","TATA MOTORS","Payment In-Progress","1601555"
"24","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"25","Jharkhand","Construction of community centers and community halls","WS/MP18072/2026-2027/261891","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","375000"
"26","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/277323","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","190000"
"27","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/277325","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"28","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/277324","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","225000"
"29","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/276178","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","85000"
"30","Jharkhand","Construction of community centers and community halls","WS/MP18072/2026-2027/276176","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","375000"
"31","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/273079","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","165000"
"32","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/273080","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","31-Aug-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","165000"
"33","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292874","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"34","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292869","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"35","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/292870","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"36","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292830","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"37","Jharkhand","Providing supply pipelines for drinking water","WS/MP18072/2026-2027/296342","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"38","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292829","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"39","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292872","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","100000"
"40","Jharkhand","Providing drains and gutters for public drainage","WS/MP18072/2026-2027/292873","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","75000"
"41","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/273084","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","225000"
"42","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/283710","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"43","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292834","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"44","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292835","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"45","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292871","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"46","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/291953","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"47","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/291945","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"48","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/291946","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","140000"
"49","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292866","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"50","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292867","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"51","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171412","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"52","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183819","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"53","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184028","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","18-Aug-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"54","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"55","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"56","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"57","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"58","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184266","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"59","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184279","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"60","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184305","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"61","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184282","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"62","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184280","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"63","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184088","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"64","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184034","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"65","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184031","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"66","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184234","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"67","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184239","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"68","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"69","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214004","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"70","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214008","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"71","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214202","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"72","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214253","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"73","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214320","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"74","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214196","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"75","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214193","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"76","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214195","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"77","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214174","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"78","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214190","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"79","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214104","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"80","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214105","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"81","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214106","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"82","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214103","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"83","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214115","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"84","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214107","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"85","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214060","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"86","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214061","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"87","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214059","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"88","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214001","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"89","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214002","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"90","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214003","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"91","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214058","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"92","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214009","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"93","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/214010","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","23-Jul-2026","Ajay Kumar Singh","Payment In-Progress","18044"
"94","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171510","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"95","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171469","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"96","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171470","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"97","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171466","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"98","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171467","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"99","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171454","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"100","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171451","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"101","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171468","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"102","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"103","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171420","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
