"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17851","Punjab","Construction of bus-sheds or bus-stops","WS/MP716/2025-2026/189601","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Jan-2026","RAM DASS SO BACHAN SINGH","Payment Success","5000"
"17852","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2025-2026/206593","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","13-May-2026","GANESH LAL","Payment Success","79686"
"17853","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18158/2025-2026/201356","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","07-Jan-2026","GANESH LAL","Payment Success","51817"
"17854","West Bengal","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP499/2025-2026/198336","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Smt Satabdi Roy (Banerjee)","BIRBHUM","14-Jan-2026","GOURI KRISHI BHANDER","Payment Success","8100000"
"17855","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/228438","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","01-Jan-2026","Lavish Enterprises","Payment Success","276219"
"17856","Gujarat","Lighting of public spaces","WS/MP582/2025-2026/141896","TAPI(District collector Tapi_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","09-Jan-2026","MAHESHBHAI RANCHHODBHAI PRAJAPATI","Payment Success","146500"
"17857","Gujarat","Lighting of public spaces","WS/MP582/2025-2026/141913","TAPI(District collector Tapi_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","09-Jan-2026","MAHESHBHAI RANCHHODBHAI PRAJAPATI","Payment Success","146500"
"17858","Gujarat","Lighting of public spaces","WS/MP582/2025-2026/137346","TAPI(District collector Tapi_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","09-Jan-2026","MAHESHBHAI RANCHHODBHAI PRAJAPATI","Payment Success","146500"
"17859","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/242687","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","31-Dec-2025","YASH PAUL AND CO BKO","Payment Success","19200"
"17860","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/242688","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Jan-2026","YASH PAUL AND CO BKO","Payment Success","12800"
"17861","Karnataka","Construction of community centers and community halls","WS/MP18076/2025-2026/220405","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","20-Feb-2026","P B INFRASTRUCTURE","Payment Success","124874"
"17862","Karnataka","Construction of community centers and community halls","WS/MP18076/2025-2026/220405","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","09-Jan-2026","P B INFRASTRUCTURE","Payment Success","375000"
"17863","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jan-2026","Jaswal Traders","Payment Success","49199"
"17864","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jan-2026","Shiv Ram Traders","Payment Success","19600"
"17865","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","25-Feb-2026","Rameshji and Sons","Payment Success","64227"
"17866","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jan-2026","Surbhi Trading Company","Payment Success","22874"
"17867","Tamil Nadu","Construction of culverts and bridges","WS/MP394/2024-2025/136037","KANNIYAKUMARI(DISTRICT COLLECTOR KANNIYAKUMARI_IDA)","Shri vijayakumar Vasanth","KANNIYAKUMARI","31-Dec-2025","ARK Construction","Payment Success","1000000"
"17868","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-Jan-2026","Buta Singh and Sons","Payment Success","47600"
"17869","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199727","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","06-Jan-2026","Green Nursery","Payment Success","46500"
"17870","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199728","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","25-Feb-2026","Dhruv Tile Factory","Payment Success","47000"
"17871","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199722","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Feb-2026","Dhruv Tile Factory","Payment Success","172050"
"17872","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199728","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-Jan-2026","RK Trader","Payment Success","20400"
"17873","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199728","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-Jan-2026","RK Trader","Payment Success","32000"
"17874","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18154/2025-2026/199728","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-Jan-2026","Julka Brick Kiln","Payment Success","98600"
"17875","Punjab","Providing garbage collection and disposal systems","WS/MP716/2025-2026/226665","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Jan-2026","PRABH RCC PIPES","Payment Success","44616"
"17876","Punjab","Providing garbage collection and disposal systems","WS/MP716/2025-2026/226665","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Jan-2026","PRABH RCC PIPES","Payment Success","44616"
"17877","Punjab","Providing garbage collection and disposal systems","WS/MP716/2025-2026/226665","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","01-Jan-2026","PRABH RCC PIPES","Payment Success","37180"
"17878","Punjab","Providing garbage collection and disposal systems","WS/MP716/2025-2026/226665","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","06-Mar-2026","PRABH RCC PIPES","Payment Success","17846"
"17879","Assam","Construction of rooms and halls in school and colleges","WS/MP541/2025-2026/225328","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","03-Jan-2026","GLOBAL TRADES","Payment Success","120000"
"17880","Assam","Construction of rooms and halls in school and colleges","WS/MP541/2025-2026/225328","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","30-Jun-2026","GLOBAL TRADES","Payment Success","80000"
"17881","Assam","Construction of rooms and halls in school and colleges","WS/MP541/2025-2026/225328","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","28-Jan-2026","GLOBAL TRADES","Payment Success","100250"
"17882","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/217049","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","10-Aug-2026","NEW SANWARIYA TRADERS DEPALPUR","Payment Success","52800"
"17883","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/217049","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","10-Aug-2026","NEW SANWARIYA TRADERS DEPALPUR","Payment Success","69000"
"17884","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP650/2025-2026/215997","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","08-Jan-2026","NEW SANWARIYA TRADERS DEPALPUR","Payment Success","74700"
"17885","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2026-2027/192088","HINGOLI(DISTRICT COLLECTOR HINGOLI_IDA)","AASHTIKAR PATIL NAGESH BAPURAO","HINGOLI","17-Apr-2026","R N CONSTRUCTION","Payment Success","998741"
"17886","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2025-2026/222824","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","01-Jan-2026","MAHADEVPURA GROUP GRAM PANCHAYAT","Payment Success","450000"
"17887","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/148247","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","01-Jan-2026","ANMOL KOHLI","Payment Success","182000"
"17888","Uttar Pradesh","Development of public parks","WS/MP468/2024-2025/171050","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","Anurag Sharma","JHANSI","19-Mar-2026","SAGAR CONSTRUCTION AND SUPPLIERS","Payment Success","2708831"
"17889","Madhya Pradesh","Street lights","WS/MP643/2024-2025/183798","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","11-Mar-2026","MP STATE AGRO IND DEV CORPN LTD BURHANPUR","Payment Success","541872"
"17890","Madhya Pradesh","Street lights","WS/MP643/2025-2026/208592","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","07-Jan-2026","MP STATE AGRO IND DEV CORPN LTD BURHANPUR","Payment Success","225780"
"17891","Madhya Pradesh","Street lights","WS/MP643/2025-2026/208584","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","07-Jan-2026","MP STATE AGRO IND DEV CORPN LTD BURHANPUR","Payment Success","451560"
"17892","Madhya Pradesh","Street lights","WS/MP643/2025-2026/208585","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","07-Jan-2026","MP STATE AGRO IND DEV CORPN LTD BURHANPUR","Payment Success","451560"
"17893","Madhya Pradesh","Street lights","WS/MP643/2025-2026/208586","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","07-Jan-2026","MP STATE AGRO IND DEV CORPN LTD BURHANPUR","Payment Success","361248"
