project_id,isolation_forest_flag,anomaly_score,anomaly_reason,zscore_flag,iqr_flag,similarity_score,duplicate_flag,ml_risk_score,ml_risk_level
WS/MP18225/2025-2026/150453,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150457,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150458,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150460,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150464,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150465,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150467,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150468,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150474,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150482,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150486,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150490,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150491,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150492,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150510,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150512,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150513,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150518,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150519,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150520,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150525,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150536,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150538,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150539,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150540,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150541,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150542,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150543,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150545,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150546,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150547,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
