sr._no.,work_category,work,state,ida,hon'ble_members_of_parliament,constituency,work_description,recommended_date_x,sanction_date,sanction_amount__₹_,work_status,project_id,recommended_date_y,recommended_amount____₹_,completion_date,amount_disbursed__₹_,total_expenditure,payment_count,latest_payment_date,completed_flag,fund_utilization,expenditure_ratio,project_age_days,over_budget,missing_completion,z_score,zscore_anomaly_flag
2093,Normal/Others,WS/MP18019/2026-2027/139500-Construction of community centers and community halls,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",06-Sep-2024,2026-07-31,5000000.0,Physical Inspection,WS/MP18019/2026-2027/139500,06-Sep-2024,5000000.0,,,4998740.0,2.0,2026-08-09,0,0.999748,0.999748,39.0,0,1,5.9021647931618855,1
5072,Normal/Others,"WS/MP18308/2025-2026/145427-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of Poch Rasta and Shed at Nagsen Chawl, Kranti Nagar, Ward No.39, Malad (E)",08-Oct-2024,2026-01-20,3000000.0,Vendor Identification,WS/MP18308/2025-2026/145427,,,,,2995469.0,1.0,2026-01-27,0,0.9984896666666668,,231.0,0,1,3.246531369898461,1
5999,Normal/Others,"WS/MP18095/2025-2026/147281-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,ALAPPUZHA,Construction of Valiyaveettil Chooravila Road in the 11th ward of Chingoli GP (SCP),22-Oct-2024,2026-02-11,2884733.0,Physical Inspection,WS/MP18095/2025-2026/147281,,,2026-03-06,2884733.0,2884733.0,1.0,2026-03-07,1,1.0,,209.0,0,0,3.0997343450533457,1
7420,Normal/Others,WS/MP18277/2025-2026/149810-Construction of community centers and community halls,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,"Construction of community hall at Bhatar bazar Plot No:2816/2817/2806, JL No:-63, Mouza:-Palar",29-Oct-2024,2025-05-21,10000000.0,Vendor Identification,WS/MP18277/2025-2026/149810,,,,,5758516.0,1.0,2026-03-24,0,0.5758516,,475.0,0,1,6.909360793999212,1
7581,Normal/Others,WS/MP458/2025-2026/150048-Construction of community centers and community halls,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of Community Hall at Pommaiahpuram Village in Sakkammalpuram Panchayat Vilathikulam Panchayat Union,02-Nov-2024,2026-02-23,3999840.0,Physical Inspection,WS/MP458/2025-2026/150048,,,2026-03-10,3999840.0,3999840.0,1.0,2026-03-10,1,1.0,,197.0,0,0,4.577974393311923,1
7588,Normal/Others,WS/MP458/2026-2027/150074-Construction of water tanks,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of 100000 litre capacity of OHT at Adithanar colony in Kayamozhi Panchayat in Tiruchendur Union,02-Nov-2024,2026-05-21,3000000.0,Vendor Identification,WS/MP458/2026-2027/150074,,,,,3000000.0,1.0,2026-05-29,0,1.0,,110.0,0,1,3.2525378837654344,1
9470,Normal/Others,WS/MP823/2025-2026/152969-Construction of culverts and bridges,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,Construction of Culvert connect of Gobindapur sansad to Tarakganj sansad at the river of voirab  at Dighalkandi GP Under Karimpur-II Block.(PHASE-I),18-Nov-2024,2025-04-03,4924873.0,Physical Inspection,WS/MP823/2025-2026/152969,,,2026-09-02,4924873.0,4924873.0,2.0,2026-07-24,1,1.0,,523.0,0,0,5.804243107041436,1
9833,Normal/Others,"WS/MP18249/2025-2026/153601-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),PARTHA BHOWMICK,BARRACKPUR,Development of Naihati State General Hospital.,21-Nov-2024,2025-08-18,20000000.0,Vendor Identification,WS/MP18249/2025-2026/153601,,,,,8601839.0,1.0,2026-02-23,0,0.43009195,,386.0,0,1,10.67860798618321,1
